Order Date,Product,Quantity Ordered,Price Each,Purchase Address
12/11/19 19:45,34in Ultrawide Monitor,1.0,379.99,"838 Ridge St, San Francisco, CA 94016"
12/20/19 02:31,Apple Airpods Headphones,1.0,150.0,"705 4th St, Los Angeles, CA 90001"
12/28/19 12:33,27in FHD Monitor,1.0,149.99,"602 Ridge St, San Francisco, CA 94016"
12/24/19 08:29,AA Batteries (4-pack),3.0,3.84,"987 Cherry St, Los Angeles, CA 90001"
12/04/19 13:53,Google Phone,1.0,600.0,"307 Wilson St, San Francisco, CA 94016"
12/10/19 02:12,iPhone,1.0,700.0,"852 Maple St, Austin, TX 73301"
12/17/19 16:13,Apple Airpods Headphones,1.0,150.0,"189 Pine St, Atlanta, GA 30301"
12/27/19 13:07,Google Phone,1.0,600.0,"904 13th St, Atlanta, GA 30301"
12/19/19 14:28,27in 4K Gaming Monitor,1.0,389.99,"335 Chestnut St, Dallas, TX 75001"
12/16/19 19:45,Google Phone,1.0,600.0,"847 Lakeview St, San Francisco, CA 94016"
12/14/19 22:57,34in Ultrawide Monitor,1.0,379.99,"321 8th St, San Francisco, CA 94016"
12/23/19 12:28,Apple Airpods Headphones,1.0,150.0,"340 Lakeview St, Seattle, WA 98101"
12/07/19 22:52,27in 4K Gaming Monitor,1.0,389.99,"442 10th St, Los Angeles, CA 90001"
12/03/19 12:44,Apple Airpods Headphones,1.0,150.0,"50 5th St, Los Angeles, CA 90001"
12/27/19 19:22,Flatscreen TV,1.0,300.0,"453 Johnson St, Atlanta, GA 30301"
12/13/19 15:56,34in Ultrawide Monitor,1.0,379.99,"40 Madison St, Dallas, TX 75001"
12/11/19 17:08,iPhone,1.0,700.0,"197 2nd St, Boston, MA 02215"
12/24/19 20:52,ThinkPad Laptop,1.0,999.99,"639 Sunset St, Los Angeles, CA 90001"
12/29/19 10:35,iPhone,1.0,700.0,"183 Hickory St, Austin, TX 73301"
12/20/19 20:02,27in 4K Gaming Monitor,1.0,389.99,"434 4th St, Austin, TX 73301"
12/28/19 11:19,Macbook Pro Laptop,1.0,1700.0,"661 Park St, Dallas, TX 75001"
12/14/19 10:49,34in Ultrawide Monitor,1.0,379.99,"845 Forest St, Los Angeles, CA 90001"
12/17/19 11:50,Google Phone,1.0,600.0,"919 Chestnut St, New York City, NY 10001"
12/31/19 15:27,27in FHD Monitor,1.0,149.99,"721 1st St, Los Angeles, CA 90001"
12/24/19 11:54,34in Ultrawide Monitor,1.0,379.99,"893 Park St, Boston, MA 02215"
12/26/19 08:48,27in 4K Gaming Monitor,1.0,389.99,"305 North St, New York City, NY 10001"
12/20/19 13:47,iPhone,1.0,700.0,"223 5th St, Dallas, TX 75001"
12/05/19 11:59,ThinkPad Laptop,1.0,999.99,"254 Elm St, San Francisco, CA 94016"
12/05/19 13:02,27in 4K Gaming Monitor,1.0,389.99,"854 North St, Atlanta, GA 30301"
12/26/19 13:24,27in FHD Monitor,1.0,149.99,"9 Center St, Los Angeles, CA 90001"
12/24/19 18:21,Flatscreen TV,1.0,300.0,"929 Dogwood St, Los Angeles, CA 90001"
12/08/19 11:55,27in FHD Monitor,1.0,149.99,"478 13th St, Portland, OR 97035"
12/11/19 20:55,27in FHD Monitor,1.0,149.99,"773 7th St, Atlanta, GA 30301"
12/10/19 22:14,Apple Airpods Headphones,1.0,150.0,"152 Spruce St, Los Angeles, CA 90001"
12/07/19 08:42,Apple Airpods Headphones,1.0,150.0,"13 Pine St, New York City, NY 10001"
12/23/19 19:04,Google Phone,1.0,600.0,"535 Meadow St, New York City, NY 10001"
12/16/19 12:57,27in FHD Monitor,1.0,149.99,"569 2nd St, San Francisco, CA 94016"
12/01/19 19:49,27in 4K Gaming Monitor,1.0,389.99,"344 6th St, New York City, NY 10001"
12/16/19 11:09,27in FHD Monitor,1.0,149.99,"425 Main St, Los Angeles, CA 90001"
12/25/19 19:18,Apple Airpods Headphones,1.0,150.0,"538 6th St, Portland, OR 97035"
12/19/19 10:28,Apple Airpods Headphones,1.0,150.0,"663 Spruce St, New York City, NY 10001"
12/01/19 14:56,27in 4K Gaming Monitor,1.0,389.99,"760 Ridge St, Atlanta, GA 30301"
12/31/19 16:24,ThinkPad Laptop,1.0,999.99,"64 Dogwood St, Portland, OR 97035"
12/30/19 19:21,Google Phone,1.0,600.0,"150 North St, Boston, MA 02215"
12/04/19 13:32,AAA Batteries (4-pack),3.0,2.99,"701 Sunset St, Dallas, TX 75001"
12/29/19 17:04,27in 4K Gaming Monitor,1.0,389.99,"175 Main St, San Francisco, CA 94016"
12/17/19 21:08,Macbook Pro Laptop,1.0,1700.0,"863 West St, San Francisco, CA 94016"
12/23/19 12:55,Flatscreen TV,1.0,300.0,"403 Dogwood St, Seattle, WA 98101"
12/24/19 17:03,Flatscreen TV,1.0,300.0,"559 Church St, Dallas, TX 75001"
12/29/19 18:56,27in FHD Monitor,1.0,149.99,"321 River St, Boston, MA 02215"
12/08/19 10:21,Macbook Pro Laptop,1.0,1700.0,"556 11th St, Austin, TX 73301"
12/17/19 10:51,iPhone,1.0,700.0,"514 Ridge St, Dallas, TX 75001"
12/10/19 08:08,27in FHD Monitor,1.0,149.99,"293 7th St, Boston, MA 02215"
12/19/19 10:53,27in 4K Gaming Monitor,1.0,389.99,"934 2nd St, Boston, MA 02215"
12/28/19 07:11,Vareebadd Phone,1.0,400.0,"3 11th St, Los Angeles, CA 90001"
12/06/19 10:46,AA Batteries (4-pack),3.0,3.84,"782 5th St, Los Angeles, CA 90001"
12/06/19 19:07,34in Ultrawide Monitor,1.0,379.99,"351 9th St, San Francisco, CA 94016"
12/16/19 22:08,ThinkPad Laptop,1.0,999.99,"192 Chestnut St, Seattle, WA 98101"
12/15/19 20:16,iPhone,1.0,700.0,"857 Center St, Boston, MA 02215"
12/02/19 06:33,iPhone,1.0,700.0,"511 Main St, Los Angeles, CA 90001"
12/12/19 17:30,27in 4K Gaming Monitor,1.0,389.99,"968 Meadow St, Boston, MA 02215"
12/09/19 07:45,Apple Airpods Headphones,1.0,150.0,"973 Pine St, Boston, MA 02215"
12/27/19 13:36,Flatscreen TV,1.0,300.0,"884 Main St, Boston, MA 02215"
12/02/19 19:03,Apple Airpods Headphones,1.0,150.0,"660 Willow St, Seattle, WA 98101"
12/06/19 13:18,Google Phone,1.0,600.0,"616 10th St, Seattle, WA 98101"
12/13/19 13:00,27in 4K Gaming Monitor,1.0,389.99,"311 Spruce St, Boston, MA 02215"
12/03/19 23:30,27in 4K Gaming Monitor,1.0,389.99,"764 Jefferson St, Portland, OR 97035"
12/15/19 18:43,iPhone,1.0,700.0,"689 Pine St, Seattle, WA 98101"
12/25/19 23:36,34in Ultrawide Monitor,1.0,379.99,"533 Chestnut St, San Francisco, CA 94016"
12/05/19 09:59,Apple Airpods Headphones,1.0,150.0,"937 Highland St, San Francisco, CA 94016"
12/20/19 06:27,AAA Batteries (4-pack),3.0,2.99,"577 10th St, Los Angeles, CA 90001"
12/04/19 18:45,Vareebadd Phone,1.0,400.0,"216 Maple St, Los Angeles, CA 90001"
12/30/19 20:43,27in 4K Gaming Monitor,1.0,389.99,"347 Meadow St, Dallas, TX 75001"
12/24/19 12:31,Macbook Pro Laptop,1.0,1700.0,"698 4th St, Portland, OR 97035"
12/18/19 20:40,Google Phone,1.0,600.0,"815 Pine St, Seattle, WA 98101"
12/03/19 17:58,27in FHD Monitor,1.0,149.99,"920 2nd St, New York City, NY 10001"
12/18/19 18:43,Google Phone,1.0,600.0,"844 Forest St, Dallas, TX 75001"
12/25/19 16:30,27in FHD Monitor,1.0,149.99,"794 West St, Atlanta, GA 30301"
12/27/19 19:49,Flatscreen TV,1.0,300.0,"495 6th St, San Francisco, CA 94016"
12/13/19 16:29,27in FHD Monitor,1.0,149.99,"830 11th St, Boston, MA 02215"
12/26/19 16:50,AA Batteries (4-pack),3.0,3.84,"74 1st St, New York City, NY 10001"
12/22/19 07:03,34in Ultrawide Monitor,1.0,379.99,"262 Elm St, New York City, NY 10001"
12/12/19 15:16,27in FHD Monitor,1.0,149.99,"779 Adams St, Atlanta, GA 30301"
12/08/19 18:59,Apple Airpods Headphones,1.0,150.0,"349 Maple St, San Francisco, CA 94016"
12/05/19 18:59,34in Ultrawide Monitor,1.0,379.99,"538 8th St, Boston, MA 02215"
12/03/19 11:12,ThinkPad Laptop,1.0,999.99,"788 7th St, Portland, OR 97035"
12/25/19 04:56,Apple Airpods Headphones,1.0,150.0,"266 8th St, Austin, TX 73301"
12/12/19 21:06,Google Phone,1.0,600.0,"803 Highland St, Portland, OR 97035"
12/23/19 18:50,iPhone,1.0,700.0,"951 Lakeview St, San Francisco, CA 94016"
12/09/19 20:45,Apple Airpods Headphones,1.0,150.0,"519 Hickory St, Los Angeles, CA 90001"
12/09/19 16:32,27in FHD Monitor,1.0,149.99,"48 Adams St, Boston, MA 02215"
12/13/19 08:35,Apple Airpods Headphones,1.0,150.0,"852 Wilson St, Boston, MA 02215"
12/05/19 11:12,27in 4K Gaming Monitor,1.0,389.99,"243 Maple St, San Francisco, CA 94016"
12/29/19 06:21,Apple Airpods Headphones,1.0,150.0,"858 Hickory St, Boston, MA 02215"
12/08/19 22:10,Macbook Pro Laptop,1.0,1700.0,"897 Jackson St, San Francisco, CA 94016"
12/23/19 09:56,27in FHD Monitor,1.0,149.99,"926 Adams St, New York City, NY 10001"
12/03/19 15:19,Macbook Pro Laptop,1.0,1700.0,"679 Chestnut St, San Francisco, CA 94016"
12/27/19 09:09,34in Ultrawide Monitor,1.0,379.99,"941 Park St, Los Angeles, CA 90001"
12/27/19 14:09,Flatscreen TV,1.0,300.0,"383 Church St, Seattle, WA 98101"
12/30/19 16:52,Flatscreen TV,1.0,300.0,"970 Sunset St, Austin, TX 73301"
12/30/19 16:52,Flatscreen TV,1.0,300.0,"970 Sunset St, Austin, TX 73301"
12/21/19 08:38,27in 4K Gaming Monitor,1.0,389.99,"38 1st St, San Francisco, CA 94016"
12/30/19 20:04,iPhone,1.0,700.0,"354 Lakeview St, San Francisco, CA 94016"
12/05/19 14:04,27in 4K Gaming Monitor,1.0,389.99,"533 Hickory St, San Francisco, CA 94016"
12/24/19 17:25,Google Phone,1.0,600.0,"482 North St, New York City, NY 10001"
12/31/19 20:18,27in 4K Gaming Monitor,1.0,389.99,"305 Jefferson St, Austin, TX 73301"
12/16/19 20:32,iPhone,1.0,700.0,"622 4th St, Boston, MA 02215"
12/28/19 21:43,Apple Airpods Headphones,1.0,150.0,"10 Maple St, Los Angeles, CA 90001"
12/11/19 11:07,34in Ultrawide Monitor,1.0,379.99,"546 Meadow St, Boston, MA 02215"
12/04/19 01:44,iPhone,1.0,700.0,"376 4th St, Atlanta, GA 30301"
12/12/19 15:49,27in FHD Monitor,1.0,149.99,"111 Adams St, San Francisco, CA 94016"
12/28/19 17:37,Apple Airpods Headphones,1.0,150.0,"126 7th St, Los Angeles, CA 90001"
12/22/19 16:38,27in 4K Gaming Monitor,1.0,389.99,"741 4th St, San Francisco, CA 94016"
12/03/19 19:59,Flatscreen TV,1.0,300.0,"942 Madison St, San Francisco, CA 94016"
12/18/19 13:04,Wired Headphones,3.0,11.99,"755 Adams St, New York City, NY 10001"
12/15/19 21:01,Apple Airpods Headphones,1.0,150.0,"621 7th St, San Francisco, CA 94016"
12/17/19 15:47,iPhone,1.0,700.0,"621 Adams St, San Francisco, CA 94016"
12/22/19 11:56,Apple Airpods Headphones,1.0,150.0,"917 Madison St, San Francisco, CA 94016"
12/11/19 20:51,34in Ultrawide Monitor,1.0,379.99,"814 Walnut St, Los Angeles, CA 90001"
12/07/19 17:35,34in Ultrawide Monitor,1.0,379.99,"983 Jefferson St, Los Angeles, CA 90001"
12/11/19 13:24,27in 4K Gaming Monitor,1.0,389.99,"927 Sunset St, Seattle, WA 98101"
12/26/19 19:16,27in FHD Monitor,1.0,149.99,"42 7th St, New York City, NY 10001"
12/31/19 18:45,Macbook Pro Laptop,1.0,1700.0,"15 Main St, Seattle, WA 98101"
12/17/19 17:14,Apple Airpods Headphones,1.0,150.0,"545 Lake St, Austin, TX 73301"
12/14/19 09:59,27in FHD Monitor,1.0,149.99,"909 5th St, New York City, NY 10001"
12/19/19 13:19,34in Ultrawide Monitor,1.0,379.99,"235 Adams St, San Francisco, CA 94016"
12/21/19 17:48,Macbook Pro Laptop,1.0,1700.0,"678 Wilson St, Los Angeles, CA 90001"
12/07/19 18:22,Google Phone,1.0,600.0,"388 9th St, Seattle, WA 98101"
12/16/19 21:21,iPhone,1.0,700.0,"897 Main St, New York City, NY 10001"
12/16/19 21:21,Apple Airpods Headphones,1.0,150.0,"897 Main St, New York City, NY 10001"
12/19/19 18:09,27in 4K Gaming Monitor,1.0,389.99,"995 13th St, Boston, MA 02215"
12/07/19 09:04,Google Phone,1.0,600.0,"171 Adams St, Los Angeles, CA 90001"
12/01/19 23:00,27in FHD Monitor,1.0,149.99,"662 Highland St, New York City, NY 10001"
12/04/19 14:00,Apple Airpods Headphones,1.0,150.0,"205 Cherry St, New York City, NY 10001"
12/11/19 21:25,Apple Airpods Headphones,1.0,150.0,"205 Elm St, Los Angeles, CA 90001"
12/12/19 17:23,27in FHD Monitor,1.0,149.99,"971 7th St, Dallas, TX 75001"
12/22/19 10:18,AAA Batteries (4-pack),4.0,2.99,"298 9th St, Los Angeles, CA 90001"
12/29/19 07:26,ThinkPad Laptop,1.0,999.99,"810 Lincoln St, Boston, MA 02215"
12/10/19 22:31,iPhone,1.0,700.0,"111 Hickory St, Seattle, WA 98101"
12/08/19 09:26,Apple Airpods Headphones,1.0,150.0,"542 Maple St, New York City, NY 10001"
12/29/19 09:38,27in FHD Monitor,1.0,149.99,"982 Cherry St, Portland, OR 97035"
12/23/19 14:22,ThinkPad Laptop,1.0,999.99,"236 Cherry St, San Francisco, CA 94016"
12/09/19 14:42,Apple Airpods Headphones,1.0,150.0,"764 Hickory St, Boston, MA 02215"
12/17/19 15:07,AA Batteries (4-pack),4.0,3.84,"958 North St, Portland, OR 97035"
12/08/19 02:23,27in 4K Gaming Monitor,1.0,389.99,"468 Sunset St, New York City, NY 10001"
12/13/19 12:26,Apple Airpods Headphones,1.0,150.0,"472 Walnut St, Los Angeles, CA 90001"
12/11/19 12:22,Apple Airpods Headphones,1.0,150.0,"661 Chestnut St, Seattle, WA 98101"
12/21/19 15:45,Google Phone,1.0,600.0,"322 5th St, San Francisco, CA 94016"
12/14/19 13:50,27in FHD Monitor,1.0,149.99,"860 Forest St, Boston, MA 02215"
12/04/19 11:28,Apple Airpods Headphones,1.0,150.0,"305 Madison St, Boston, MA 02215"
12/04/19 08:51,Apple Airpods Headphones,1.0,150.0,"840 Main St, San Francisco, CA 94016"
12/23/19 09:20,Vareebadd Phone,1.0,400.0,"303 Ridge St, Austin, TX 73301"
12/06/19 22:03,Google Phone,1.0,600.0,"746 Ridge St, Los Angeles, CA 90001"
12/22/19 11:43,34in Ultrawide Monitor,1.0,379.99,"732 Highland St, New York City, NY 10001"
12/04/19 20:08,Apple Airpods Headphones,1.0,150.0,"6 4th St, San Francisco, CA 94016"
12/06/19 01:31,27in 4K Gaming Monitor,1.0,389.99,"626 9th St, Portland, ME 04101"
12/31/19 23:04,27in 4K Gaming Monitor,1.0,389.99,"445 Cedar St, Los Angeles, CA 90001"
12/18/19 11:41,Macbook Pro Laptop,1.0,1700.0,"763 Cherry St, San Francisco, CA 94016"
12/04/19 14:26,27in FHD Monitor,1.0,149.99,"414 Pine St, Portland, ME 04101"
12/04/19 07:37,iPhone,1.0,700.0,"498 8th St, New York City, NY 10001"
12/28/19 19:02,Apple Airpods Headphones,1.0,150.0,"598 West St, San Francisco, CA 94016"
12/27/19 15:07,AA Batteries (4-pack),4.0,3.84,"302 Johnson St, Seattle, WA 98101"
12/19/19 15:01,Apple Airpods Headphones,1.0,150.0,"167 Meadow St, Austin, TX 73301"
12/17/19 15:21,Apple Airpods Headphones,1.0,150.0,"521 Jackson St, Los Angeles, CA 90001"
12/19/19 15:33,Apple Airpods Headphones,1.0,150.0,"958 2nd St, Los Angeles, CA 90001"
12/27/19 22:39,Apple Airpods Headphones,1.0,150.0,"891 Hill St, San Francisco, CA 94016"
12/14/19 19:47,27in 4K Gaming Monitor,1.0,389.99,"482 Center St, Los Angeles, CA 90001"
12/04/19 21:52,Flatscreen TV,1.0,300.0,"891 Ridge St, Dallas, TX 75001"
12/28/19 20:07,Google Phone,1.0,600.0,"351 9th St, Austin, TX 73301"
12/01/19 10:44,iPhone,1.0,700.0,"466 2nd St, Los Angeles, CA 90001"
12/02/19 10:35,27in FHD Monitor,1.0,149.99,"611 Chestnut St, San Francisco, CA 94016"
12/05/19 18:37,ThinkPad Laptop,1.0,999.99,"544 6th St, San Francisco, CA 94016"
12/07/19 19:30,34in Ultrawide Monitor,1.0,379.99,"263 Adams St, Atlanta, GA 30301"
12/02/19 16:49,Apple Airpods Headphones,1.0,150.0,"618 Main St, Austin, TX 73301"
12/04/19 16:24,Flatscreen TV,1.0,300.0,"722 Forest St, New York City, NY 10001"
12/23/19 21:43,Apple Airpods Headphones,1.0,150.0,"869 Maple St, Atlanta, GA 30301"
12/12/19 10:04,USB-C Charging Cable,3.0,11.95,"690 Dogwood St, San Francisco, CA 94016"
12/14/19 03:10,ThinkPad Laptop,1.0,999.99,"566 Lincoln St, San Francisco, CA 94016"
12/07/19 21:00,Apple Airpods Headphones,1.0,150.0,"546 Willow St, San Francisco, CA 94016"
12/09/19 23:55,AA Batteries (4-pack),3.0,3.84,"388 Wilson St, Austin, TX 73301"
12/11/19 18:04,Google Phone,1.0,600.0,"229 Pine St, San Francisco, CA 94016"
12/01/19 11:47,iPhone,1.0,700.0,"350 Center St, Boston, MA 02215"
12/11/19 14:52,27in FHD Monitor,1.0,149.99,"173 Cherry St, Dallas, TX 75001"
12/21/19 22:45,Flatscreen TV,1.0,300.0,"573 7th St, Atlanta, GA 30301"
